"Table 2.  Detailed Occupation1 by Median Earnings in the Past 12 Months, Sex and Education for Full-Time, Year-Round Workers: ACS 2016",,,,,,,,,,,,,,,,,,,
"Universe: Full-time, year-round, civilian employed population 25 years and over with earnings ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total,,,,,,Less than Bachelor's degree,,,,,,Bachelor's degree or higher,,,,,,
Gaming cage workers," 30,779 "," 3,708 "," 31,512 "," 6,492 "," 30,092 "," 4,952 "," 30,295 "," 3,915 "," 30,271 "," 4,513 "," 30,327 "," 5,900 "," 36,322 "," 11,027 "," 41,123 "," 2,544 "," 27,275 "," 8,765 ",
Payroll and timekeeping clerks," 41,532 ", 500 ," 50,000 "," 3,547 "," 41,124 ", 486 ," 40,949 ", 547 ," 50,585 "," 4,380 "," 40,620 ", 526 ," 45,621 "," 2,254 "," 48,635 "," 4,073 "," 44,551 "," 3,068 ",
Procurement clerks," 57,008 "," 2,194 "," 61,187 "," 2,496 "," 51,898 "," 3,334 "," 51,607 "," 1,610 "," 55,258 "," 3,477 "," 48,423 "," 4,133 "," 65,249 "," 2,581 "," 66,391 "," 4,451 "," 62,181 "," 4,706 ",
Tellers," 27,283 ", 265 ," 28,808 "," 1,791 "," 27,170 ", 274 ," 27,223 ", 317 ," 27,522 "," 1,554 "," 27,190 ", 330 ," 27,662 "," 1,146 "," 30,971 "," 1,669 "," 27,067 ", 604 ,
"Financial clerks, all other"," 57,291 "," 4,323 "," 81,295 "," 4,390 "," 46,471 "," 3,012 "," 41,889 ", 940 ," 51,248 "," 3,393 "," 40,682 ", 946 ," 85,687 "," 5,765 "," 96,626 "," 8,388 "," 70,158 "," 9,232 ",
Brokerage clerks," 49,940 "," 5,485 "," 59,443 "," 10,307 "," 46,489 "," 1,884 "," 47,274 "," 4,287 "," 59,022 "," 8,784 "," 46,156 "," 3,017 "," 53,722 "," 14,408 "," 62,978 "," 19,838 "," 50,582 "," 9,078 ",
Correspondence clerks," 49,346 "," 4,705 "," 45,983 "," 11,754 "," 50,434 "," 12,800 "," 47,216 "," 7,872 "," 46,989 "," 20,750 "," 47,330 "," 6,554 "," 62,436 "," 46,309 "," 45,142 "," 32,186 "," 85,188 "," 51,655 ",
"Court, municipal, and license clerks"," 38,691 "," 1,134 "," 45,843 "," 4,170 "," 37,684 "," 1,107 "," 37,351 "," 1,199 "," 39,476 "," 5,608 "," 37,163 "," 1,212 "," 41,985 "," 2,752 "," 49,894 "," 7,995 "," 39,535 "," 2,046 ",
"Credit authorizers, checkers, and clerks"," 42,503 "," 2,414 "," 52,444 "," 17,502 "," 40,977 "," 1,139 "," 40,351 "," 1,178 "," 41,913 "," 2,624 "," 39,907 "," 2,624 "," 67,578 "," 9,245 "," 80,603 "," 17,681 "," 53,265 "," 11,249 ",
Customer service representatives," 35,790 ", 219 ," 40,382 ", 433 ," 34,009 ", 484 ," 32,396 ", 180 ," 35,920 ", 582 ," 31,898 ", 169 ," 45,448 ", 669 ," 51,365 ", 914 ," 41,826 ", 504 ,
"Eligibility interviewers, government programs"," 42,236 "," 1,206 "," 49,752 "," 3,038 "," 41,292 ", 924 ," 40,955 "," 1,037 "," 48,120 "," 2,753 "," 40,181 "," 1,803 "," 46,121 "," 1,970 "," 51,389 "," 4,820 "," 44,963 "," 4,132 ",
File clerks," 35,326 ", 488 ," 38,366 "," 2,771 "," 34,624 "," 1,226 "," 33,770 "," 1,560 "," 36,427 "," 2,569 "," 33,089 "," 1,476 "," 40,113 "," 2,229 "," 41,466 "," 2,221 "," 37,743 "," 3,443 ",
"Hotel, motel, and resort desk clerks"," 23,781 "," 1,166 "," 25,669 "," 2,079 "," 22,571 "," 1,214 "," 23,188 "," 1,202 "," 25,448 "," 1,652 "," 22,096 ", 753 ," 26,153 "," 2,258 "," 28,573 "," 9,706 "," 25,874 "," 1,514 ",
"Interviewers, except eligibility and loan"," 32,430 ", 900 ," 41,882 "," 1,482 "," 31,861 ", 394 ," 31,249 ", 430 ," 40,330 "," 5,326 "," 30,878 ", 475 ," 40,867 "," 1,399 "," 50,026 "," 8,113 "," 38,556 "," 3,790 ",
"Library assistants, clerical"," 31,069 ", 848 ," 31,571 "," 1,867 "," 30,964 ", 971 ," 30,250 "," 1,544 "," 29,876 "," 2,343 "," 30,318 "," 2,099 "," 31,936 "," 1,538 "," 35,117 "," 5,698 "," 31,671 "," 1,291 ",
Loan interviewers and clerks," 42,100 ", 539 ," 50,024 "," 5,541 "," 41,699 ", 589 ," 41,459 ", 612 ," 47,683 "," 6,158 "," 41,192 ", 636 ," 46,301 "," 1,704 "," 51,837 "," 11,584 "," 45,660 "," 1,561 ",
New accounts clerks," 36,695 "," 2,422 "," 50,089 "," 17,436 "," 33,993 "," 4,862 "," 33,811 "," 5,372 "," 36,654 "," 11,054 "," 32,374 "," 4,719 "," 42,058 "," 9,668 "," 56,753 "," 10,691 "," 36,032 "," 4,276 ",
Order clerks," 34,554 "," 1,885 "," 37,013 "," 2,110 "," 31,914 "," 1,053 "," 32,453 "," 1,491 "," 36,013 "," 1,323 "," 31,001 "," 1,108 "," 41,746 "," 2,917 "," 47,293 "," 9,474 "," 39,615 "," 6,160 ",
"Human resources assistants, except payroll and timekeeping"," 40,221 "," 1,140 "," 46,561 "," 10,096 "," 39,367 "," 1,365 "," 38,900 "," 1,488 "," 42,312 "," 16,476 "," 38,313 "," 1,368 "," 44,298 "," 5,202 "," 50,178 "," 9,737 "," 42,556 "," 5,175 ",
Receptionists and information clerks," 30,261 ", 173 ," 32,014 ", 861 ," 30,134 ", 174 ," 29,828 ", 406 ," 31,587 ", 835 ," 29,588 ", 416 ," 32,470 "," 1,121 "," 35,344 "," 2,008 "," 32,316 ", 581 ,
Reservation and transportation ticket agents and travel clerks," 41,057 ", 842 ," 46,257 "," 3,900 "," 38,614 "," 2,613 "," 36,878 "," 1,666 "," 41,652 "," 3,801 "," 35,605 "," 2,234 "," 51,246 "," 1,739 "," 52,093 "," 3,620 "," 50,444 "," 2,882 ",
"Information and record clerks, all other"," 39,009 "," 2,682 "," 42,264 "," 6,149 "," 37,019 "," 1,063 "," 36,060 ", 937 ," 39,938 "," 4,908 "," 35,619 "," 1,154 "," 45,385 "," 3,774 "," 47,418 "," 7,200 "," 43,928 "," 4,309 ",
Cargo and freight agents," 40,095 "," 3,139 "," 41,445 "," 4,133 "," 34,387 "," 5,278 "," 37,304 "," 4,253 "," 39,459 "," 4,230 "," 32,438 "," 3,623 "," 44,660 "," 4,716 "," 48,195 "," 8,795 "," 42,484 "," 7,639 ",
Couriers and messengers," 39,187 "," 1,909 "," 40,489 ", 781 ," 32,281 "," 4,360 "," 38,486 "," 2,198 "," 40,281 "," 1,118 "," 31,413 "," 2,313 "," 41,573 "," 2,949 "," 42,654 "," 3,646 "," 36,760 "," 1,578 ",
Dispatchers," 40,092 ", 584 ," 43,060 "," 2,129 "," 36,567 ", 597 ," 38,858 "," 1,003 "," 42,123 ", 627 ," 35,941 ", 675 ," 45,010 "," 2,100 "," 47,622 "," 3,052 "," 42,054 "," 2,204 ",
"Meter readers, utilities"," 41,739 "," 2,038 "," 42,009 "," 2,680 "," 36,592 "," 7,752 "," 41,133 "," 1,768 "," 41,520 "," 1,543 "," 35,730 "," 7,501 "," 51,383 "," 4,928 "," 52,212 "," 9,840 "," 50,144 "," 13,414 ",
Postal service clerks," 55,593 ", 466 ," 56,217 ", 771 ," 55,013 "," 2,781 "," 55,358 ", 530 ," 56,236 ", 716 ," 52,348 "," 2,899 "," 57,367 "," 1,771 "," 56,017 "," 4,765 "," 58,558 "," 2,394 ",
Postal service mail carriers," 57,329 ", 593 ," 58,900 ", 673 ," 54,183 "," 1,291 "," 57,287 ", 596 ," 58,806 ", 738 ," 54,599 "," 1,285 "," 57,586 "," 1,360 "," 59,340 "," 1,375 "," 51,786 "," 1,929 ",
"Postal service mail sorters, processors, and processing machine operators"," 55,316 ", 618 ," 56,484 ", 961 ," 52,297 "," 1,972 "," 55,062 "," 1,348 "," 56,135 "," 1,044 "," 51,877 "," 1,419 "," 56,979 "," 1,974 "," 59,545 "," 3,267 "," 55,607 "," 2,635 ",
"Production, planning, and expediting clerks"," 50,410 ", 772 ," 62,741 "," 2,464 "," 41,346 ", 612 ," 44,410 "," 2,281 "," 60,219 "," 1,522 "," 38,743 "," 1,547 "," 61,298 "," 1,194 "," 71,264 "," 1,840 "," 52,229 "," 3,262 ",
"Shipping, receiving, and traffic clerks"," 31,942 ", 220 ," 33,114 ", 837 ," 29,794 ", 712 ," 31,854 ", 225 ," 33,167 ", 872 ," 29,351 ", 739 ," 33,609 "," 2,589 "," 32,492 "," 2,592 "," 35,304 "," 2,237 ",
Stock clerks and order fillers," 29,849 ", 410 ," 30,504 ", 276 ," 27,778 ", 604 ," 29,183 ", 429 ," 30,218 ", 271 ," 27,360 ", 382 ," 35,100 "," 1,752 "," 35,680 ", 989 ," 32,188 "," 2,176 ",
"Weighers, measurers, checkers, and samplers, recordkeeping"," 36,762 "," 1,078 "," 40,639 "," 2,299 "," 32,598 "," 4,027 "," 35,494 "," 1,399 "," 38,476 "," 2,400 "," 31,910 ", 924 ," 50,298 "," 8,496 "," 62,909 "," 15,568 "," 42,197 "," 9,606 ",
Secretaries and administrative assistants," 37,776 ", 318 ," 45,235 "," 1,023 "," 37,419 ", 166 ," 36,784 ", 171 ," 41,394 ", 721 ," 36,653 ", 176 ," 41,813 ", 342 ," 50,258 "," 1,607 "," 41,402 ", 347 ,
Computer operators," 43,369 "," 3,077 "," 52,191 "," 2,040 "," 38,527 "," 1,842 "," 40,828 ", 833 ," 48,267 "," 4,017 "," 36,797 "," 1,349 "," 53,590 "," 2,914 "," 58,420 "," 5,103 "," 47,599 "," 6,113 ",
Data entry keyers," 33,663 ", 935 ," 36,426 "," 1,111 "," 32,681 ", 791 ," 32,518 ", 921 ," 35,617 "," 1,718 "," 32,283 ", 401 ," 35,918 ", 855 ," 38,211 "," 3,075 "," 34,964 "," 1,175 ",
Word processors and typists," 35,334 ", 413 ," 40,161 "," 1,648 "," 34,697 ", 844 ," 35,005 ", 788 ," 38,671 "," 2,959 "," 34,323 "," 1,083 "," 36,638 "," 1,020 "," 41,453 "," 2,307 "," 35,505 ", 917 ,
Desktop publishers," 42,201 "," 11,581 "," 55,044 "," 26,671 "," 32,024 "," 8,420 "," 40,951 "," 20,571 "," 55,625 "," 25,729 "," 30,668 "," 13,793 "," 43,723 "," 17,824 "," 44,574 "," 25,809 "," 39,091 "," 22,370 ",
Insurance claims and policy processing clerks," 38,306 ", 625 ," 41,883 ", 917 ," 37,398 ", 416 ," 36,576 ", 378 ," 38,815 "," 2,487 "," 36,375 ", 373 ," 44,260 "," 2,031 "," 47,825 "," 2,857 "," 41,983 "," 1,075 ",
"Mail clerks and mail machine operators, except postal service"," 30,206 ", 819 ," 33,073 "," 1,756 "," 27,199 ", 853 ," 30,050 ", 936 ," 33,992 "," 1,816 "," 26,877 ", 750 ," 30,876 "," 1,904 "," 30,723 "," 3,942 "," 31,195 "," 3,692 ",
"Office clerks, general"," 35,561 ", 222 ," 40,958 ", 583 ," 34,868 ", 475 ," 34,134 ", 593 ," 40,013 "," 1,496 "," 33,063 ", 633 ," 40,589 ", 486 ," 45,580 "," 3,036 "," 39,733 "," 1,162 ",
"Office machine operators, except computer"," 31,342 ", 955 ," 38,676 "," 4,804 "," 29,013 "," 1,830 "," 31,445 "," 1,037 "," 40,002 "," 4,801 "," 28,899 "," 2,460 "," 30,588 "," 2,638 "," 32,474 "," 13,742 "," 29,229 "," 1,972 ",
Proofreaders and copy markers," 40,435 "," 1,899 "," 38,538 "," 2,712 "," 41,357 "," 2,621 "," 39,155 "," 2,556 "," 36,784 "," 3,221 "," 40,712 "," 2,165 "," 45,379 "," 5,852 "," 45,754 "," 6,740 "," 45,125 "," 8,832 ",
Statistical assistants," 50,754 "," 2,550 "," 52,918 "," 5,848 "," 47,814 "," 5,139 "," 46,853 "," 3,411 "," 47,282 "," 5,922 "," 46,010 "," 5,739 "," 64,399 "," 6,558 "," 84,052 "," 22,426 "," 53,342 "," 17,429 ",
"Office and administrative support workers, all other"," 41,702 ", 320 ," 48,137 "," 2,327 "," 40,754 ", 342 ," 39,831 ", 776 ," 45,506 "," 1,952 "," 38,271 ", 814 ," 46,480 ", 732 ," 51,467 "," 1,126 "," 45,313 ", 865 ,
"Natural Resources, Construction, and Maintenance Occupations"," 42,475 ", 193 ," 43,289 ", 424 ," 32,020 ", 449 ," 42,124 ", 94 ," 42,342 ", 95 ," 30,909 ", 467 ," 52,159 ", 370 ," 52,291 ", 421 ," 50,026 "," 4,806 ",
"Farming, Fishing, and Forestry Occupations"," 27,351 ", 337 ," 29,964 ", 520 ," 21,367 ", 341 ," 26,823 ", 315 ," 28,880 ", 733 ," 20,926 ", 339 ," 40,438 "," 2,017 "," 42,225 "," 3,381 "," 31,355 "," 3,565 ",
"First-line supervisors of farming, fishing, and forestry workers"," 41,590 "," 1,277 "," 42,377 "," 3,222 "," 32,125 "," 6,420 "," 40,212 "," 2,199 "," 41,112 "," 1,351 "," 29,692 "," 3,736 "," 61,735 "," 3,091 "," 61,992 "," 3,805 "," 60,308 "," 19,772 ",
Agricultural inspectors," 50,129 "," 5,210 "," 47,106 "," 4,994 "," 52,455 "," 10,180 "," 45,695 "," 2,721 "," 45,084 "," 4,425 "," 49,494 "," 10,003 "," 61,524 "," 5,660 "," 60,816 "," 5,447 "," 66,384 "," 22,165 ",
Animal breeders," 30,439 "," 6,141 "," 36,371 "," 9,920 "," 27,743 "," 6,781 "," 30,043 "," 4,644 "," 32,323 "," 7,572 "," 24,695 "," 15,076 "," 46,935 "," 45,904 "," 61,096 "," 20,126 ", - , ** ,
"Graders and sorters, agricultural products"," 21,146 ", 527 ," 22,453 "," 2,372 "," 20,842 ", 579 ," 20,979 ", 527 ," 22,041 "," 1,925 "," 20,726 ", 596 ," 45,320 "," 12,440 "," 51,517 "," 4,867 "," 40,030 "," 18,612 ",
Miscellaneous agricultural workers," 26,017 ", 319 ," 27,146 ", 359 ," 20,508 ", 478 ," 25,761 ", 323 ," 26,827 ", 358 ," 20,333 ", 498 ," 32,977 "," 2,778 "," 36,354 "," 1,500 "," 23,791 "," 2,294 ",
Fishing and hunting workers," 32,324 "," 3,718 "," 32,466 "," 5,602 "," 26,320 ", 991 ," 32,307 "," 4,143 "," 32,455 "," 6,134 "," 26,509 "," 1,269 "," 32,405 "," 9,929 "," 35,074 "," 8,634 ", - , ** ,
Forest and conservation workers," 36,931 "," 6,959 "," 38,787 "," 6,422 "," 30,095 "," 4,838 "," 32,480 "," 7,031 "," 34,048 "," 7,541 "," 28,103 "," 2,325 "," 56,360 "," 15,237 "," 58,013 "," 10,561 "," 32,176 "," 43,214 ",
Logging workers," 35,343 "," 3,558 "," 35,626 "," 2,926 "," 22,500 "," 12,679 "," 35,252 "," 3,762 "," 35,412 "," 3,390 "," 22,952 "," 20,171 "," 38,371 "," 15,784 "," 39,503 "," 10,044 ", - , ** ,
Construction and Extraction Occupations," 41,876 ", 132 ," 41,958 ", 134 ," 36,671 "," 1,171 "," 41,522 ", 133 ," 41,616 ", 134 ," 35,298 "," 1,854 "," 52,417 "," 1,187 "," 52,477 "," 1,708 "," 51,420 "," 4,099 ",
First-line supervisors of construction trades and extraction workers," 60,166 ", 573 ," 60,396 ", 406 ," 45,552 "," 2,235 "," 57,382 "," 1,486 "," 58,507 "," 2,026 "," 42,095 "," 3,337 "," 71,283 "," 1,789 "," 71,655 "," 2,148 "," 61,329 "," 4,327 ",
Boilermakers," 56,278 "," 8,573 "," 56,410 "," 8,651 ", - , ** ," 56,350 "," 8,571 "," 56,481 "," 8,723 ", - , ** ," 49,688 "," 44,163 "," 49,688 "," 44,163 ", - , ** ,
"Brickmasons, blockmasons, and stonemasons"," 35,312 "," 1,800 "," 35,291 "," 1,894 "," 52,637 "," 34,506 "," 35,389 "," 1,471 "," 35,371 "," 1,570 "," 52,314 "," 39,933 "," 30,842 "," 6,984 "," 30,729 "," 6,952 ", - , ** ,
Carpenters," 37,371 ", 522 ," 37,462 ", 766 ," 31,567 "," 3,820 "," 37,176 ", 436 ," 37,272 ", 492 ," 31,222 "," 2,436 "," 42,509 "," 3,714 "," 42,512 "," 3,782 "," 42,467 "," 27,697 ",
"Carpet, floor, and tile installers and finishers"," 35,869 "," 1,028 "," 35,962 "," 1,018 "," 30,644 "," 14,496 "," 35,822 "," 1,066 "," 35,902 "," 1,056 "," 30,435 "," 18,253 "," 36,935 "," 7,265 "," 37,269 "," 7,468 ", - , ** ,
"Cement masons, concrete finishers, and terrazzo workers"," 37,235 "," 2,070 "," 37,299 "," 2,114 ", - , ** ," 37,211 "," 2,064 "," 37,276 "," 2,105 ", - , ** ," 40,266 "," 12,052 "," 40,266 "," 12,052 ", - , ** ,
Construction laborers," 35,029 ", 913 ," 35,133 ", 545 ," 30,866 "," 1,127 "," 34,080 "," 1,281 "," 34,427 "," 1,284 "," 30,868 "," 1,021 "," 45,389 "," 5,550 "," 45,710 "," 4,920 "," 30,833 "," 23,437 ",
"Paving, surfacing, and tamping equipment operators"," 44,334 "," 6,249 "," 44,638 "," 6,261 "," 27,489 "," 38,552 "," 43,166 "," 6,171 "," 43,470 "," 6,242 "," 27,489 "," 38,552 "," 71,278 "," 6,624 "," 71,278 "," 6,624 ", - , ** ,
"Operating engineers and other construction equipment operators, including pile-driver operators"," 47,343 ", 962 ," 47,321 ", 921 ," 50,539 "," 13,689 "," 47,256 ", 845 ," 47,251 ", 827 ," 48,558 "," 13,233 "," 51,593 "," 5,515 "," 51,092 "," 5,208 "," 70,481 "," 17,693 ",
"Drywall installers, ceiling tile installers, and tapers"," 31,647 ", 615 ," 31,774 ", 621 ," 21,246 "," 1,146 "," 31,523 ", 615 ," 31,643 ", 622 ," 21,416 "," 1,013 "," 41,101 "," 5,251 "," 41,374 "," 7,058 ", - , ** ,
Electricians," 52,460 ", 806 ," 52,468 ", 795 ," 51,764 "," 8,885 "," 52,290 ", 322 ," 52,299 ", 304 ," 51,469 "," 9,037 "," 60,487 "," 1,717 "," 60,528 "," 1,794 "," 59,434 "," 28,290 ",
Glaziers," 40,881 "," 1,162 "," 40,859 "," 1,161 "," 75,670 "," 55,241 "," 41,311 "," 1,214 "," 41,291 "," 1,214 "," 75,670 "," 55,241 "," 31,127 "," 11,124 "," 31,127 "," 11,124 ", - , ** ,
Insulation workers," 38,614 "," 3,705 "," 38,823 "," 3,625 "," 32,216 "," 13,985 "," 38,225 "," 4,045 "," 38,411 "," 4,000 "," 32,393 "," 15,121 "," 41,644 "," 10,233 "," 42,483 "," 11,665 ", - , ** ,
"Painters, construction and maintenance"," 31,268 ", 280 ," 31,340 ", 289 ," 29,079 "," 3,645 "," 31,112 ", 301 ," 31,181 ", 307 ," 28,672 "," 3,915 "," 36,723 "," 2,599 "," 37,490 "," 4,816 "," 31,289 "," 5,559 ",
Paperhangers," 41,343 "," 24,027 "," 51,503 "," 20,042 "," 22,251 "," 43,761 "," 40,394 "," 23,610 "," 51,157 "," 23,256 "," 22,251 "," 43,761 "," 77,330 "," 5,892 "," 77,330 "," 5,892 ", - , ** ,
"Pipelayers, plumbers, pipefitters, and steamfitters"," 50,192 ", 588 ," 50,221 ", 553 ," 47,680 "," 13,633 "," 49,800 "," 1,287 "," 50,005 "," 1,200 "," 40,284 "," 6,703 "," 60,343 "," 4,237 "," 59,111 "," 5,521 "," 96,326 "," 19,283 ",
Plasterers and stucco masons," 31,809 "," 1,872 "," 31,767 "," 1,907 ", - , ** ," 31,692 "," 1,912 "," 31,643 "," 1,909 ", - , ** ," 33,773 "," 4,148 "," 33,773 "," 4,148 ", - , ** ,
Reinforcing iron and rebar workers," 45,653 "," 12,309 "," 45,653 "," 12,309 ", - , ** ," 45,265 "," 12,483 "," 45,265 "," 12,483 ", - , ** , - , ** , - , ** , - , ** ,
Roofers," 31,131 ", 592 ," 31,058 ", 601 ," 50,220 "," 18,135 "," 31,044 ", 596 ," 30,968 ", 611 ," 50,220 "," 18,135 "," 34,343 "," 15,500 "," 34,343 "," 15,500 ", - , ** ,
Sheet metal workers," 43,630 "," 3,434 "," 44,588 "," 3,433 "," 33,000 "," 13,013 "," 44,198 "," 3,481 "," 45,011 "," 3,346 "," 36,657 "," 11,095 "," 35,962 "," 9,547 "," 36,923 "," 10,721 "," 26,624 "," 20,368 ",
Structural iron and steel workers," 52,137 "," 3,882 "," 51,810 "," 2,681 "," 70,751 "," 15,761 "," 52,067 "," 3,551 "," 51,898 "," 3,019 "," 57,122 "," 32,092 "," 56,973 "," 28,902 "," 32,274 "," 41,024 ", - , ** ,
"Helpers, construction trades"," 29,100 "," 2,655 "," 28,769 "," 2,837 "," 42,219 "," 61,457 "," 28,768 "," 2,780 "," 28,372 "," 2,928 "," 47,927 "," 201,591 "," 31,268 "," 8,739 "," 31,513 "," 12,181 ", - , ** ,
Construction and building inspectors," 56,501 "," 2,005 "," 57,890 "," 2,411 "," 46,652 "," 7,274 "," 53,404 "," 2,888 "," 55,847 "," 2,449 "," 41,156 "," 2,848 "," 64,614 "," 5,936 "," 65,556 "," 6,760 "," 61,933 "," 16,091 ",
Elevator installers and repairers," 87,009 "," 7,740 "," 87,451 "," 7,534 "," 41,783 "," 43,556 "," 86,254 "," 6,801 "," 86,956 "," 6,448 "," 41,029 "," 7,010 "," 116,294 "," 59,485 "," 121,197 "," 80,209 ", - , ** ,
Fence erectors," 31,761 "," 1,181 "," 32,004 "," 1,914 "," 20,841 "," 5,964 "," 31,792 "," 1,233 "," 31,946 "," 1,634 "," 22,311 "," 2,004 "," 30,903 "," 29,149 "," 46,282 "," 27,680 ", - , ** ,
Hazardous materials removal workers," 37,466 "," 4,975 "," 40,800 "," 4,988 "," 27,957 "," 6,383 "," 35,778 "," 2,763 "," 37,091 "," 4,182 "," 27,726 "," 5,683 "," 62,651 "," 16,076 "," 63,177 "," 14,948 "," 51,284 "," 71,270 ",
Highway maintenance workers," 40,121 "," 1,085 "," 40,248 ", 969 ," 31,692 "," 2,704 "," 40,132 "," 1,093 "," 40,268 ", 960 ," 31,578 "," 2,349 "," 37,179 "," 8,858 "," 36,938 "," 7,679 "," 50,556 "," 59,144 ",
Rail-track laying and maintenance equipment operators," 60,423 "," 8,718 "," 60,726 "," 6,608 "," 50,596 "," 30,810 "," 60,542 "," 7,723 "," 60,646 "," 7,040 ", - , ** ," 51,753 "," 15,170 "," 66,250 "," 40,363 ", - , ** ,
Septic tank servicers and sewer pipe cleaners," 45,790 "," 7,672 "," 46,262 "," 6,934 "," 16,726 "," 11,044 "," 45,775 "," 7,752 "," 46,247 "," 6,919 "," 16,726 "," 11,044 "," 62,620 "," 90,335 "," 62,620 "," 90,335 ", - , ** ,
"Miscellaneous construction and related workers, including solar photovoltaic installers"," 37,457 "," 2,530 "," 37,444 "," 2,756 "," 40,051 "," 9,416 "," 36,344 "," 2,548 "," 36,263 "," 2,832 "," 37,021 "," 8,974 "," 60,286 "," 25,862 "," 54,625 "," 27,345 ", - , ** ,
"Derrick, rotary drill, and service unit operators, oil, gas, and mining"," 71,051 "," 10,134 "," 70,980 "," 9,881 "," 158,929 "," 152,531 "," 70,837 "," 10,208 "," 70,819 "," 10,172 ", - , ** ," 76,146 "," 36,281 "," 75,862 "," 34,567 ", - , ** ,
"Earth drillers, except oil and gas"," 46,928 "," 6,039 "," 47,228 "," 6,214 ", - , ** ," 47,234 "," 5,974 "," 47,234 "," 5,974 ", - , ** ," 37,276 "," 28,141 "," 39,945 "," 43,991 ", - , ** ,
"Explosives workers, ordnance handling experts, and blasters"," 60,558 "," 4,754 "," 60,429 "," 9,814 "," 61,404 "," 14,967 "," 55,142 "," 11,117 "," 52,698 "," 12,534 "," 59,510 "," 2,845 "," 66,514 "," 26,370 "," 62,369 "," 15,059 ", - , ** ,
Mining machine operators," 67,928 "," 4,484 "," 67,513 "," 4,604 "," 91,628 "," 4,856 "," 67,102 "," 3,718 "," 66,944 "," 3,457 "," 91,628 "," 4,856 "," 76,435 "," 8,143 "," 76,435 "," 8,143 ", - , ** ,
"Roof bolters, mining"," 75,303 "," 13,924 "," 75,303 "," 13,924 ", - , ** ," 75,303 "," 13,924 "," 75,303 "," 13,924 ", - , ** , - , ** , - , ** , - , ** ,
"Roustabouts, oil and gas"," 45,691 "," 8,063 "," 45,691 "," 8,063 ", - , ** ," 44,688 "," 7,614 "," 44,688 "," 7,614 ", - , ** ," 51,752 "," 51,201 "," 51,752 "," 51,201 ", - , ** ,
Helpers--extraction workers," 55,411 "," 32,214 "," 55,411 "," 32,214 ", - , ** ," 54,941 "," 28,085 "," 54,941 "," 28,085 ", - , ** , - , ** , - , ** , - , ** ,
Other extraction workers," 56,506 "," 6,201 "," 57,350 "," 5,947 "," 27,101 "," 11,567 "," 56,493 "," 6,015 "," 56,922 "," 5,895 "," 34,778 "," 18,883 "," 56,632 "," 18,793 "," 61,001 "," 30,050 ", - , ** ,
"Installation, Maintenance, and Repair Occupations"," 47,632 ", 350 ," 47,860 ", 357 ," 42,233 ", 964 ," 47,151 ", 199 ," 47,308 ", 197 ," 40,941 ", 886 ," 53,789 "," 2,647 "," 53,507 "," 2,745 "," 55,447 "," 4,516 ",
"First-line supervisors of mechanics, installers, and repairers"," 60,879 ", 822 ," 61,015 ", 824 ," 55,518 "," 6,373 "," 58,830 "," 2,444 "," 59,784 "," 1,930 "," 50,541 "," 2,927 "," 78,977 "," 4,032 "," 80,002 "," 4,335 "," 75,228 "," 8,641 ",
"Computer, automated teller, and office machine repairers"," 45,545 ", 976 ," 45,587 "," 1,017 "," 45,244 "," 4,217 "," 44,512 "," 2,364 "," 44,545 "," 2,456 "," 43,946 "," 5,752 "," 48,232 "," 2,655 "," 48,814 "," 2,672 "," 45,981 "," 4,958 ",
Radio and telecommunications equipment installers and repairers," 55,607 "," 1,174 "," 55,660 "," 1,159 "," 54,099 "," 9,625 "," 54,657 "," 2,272 "," 55,071 "," 1,894 "," 49,769 "," 13,950 "," 60,116 "," 4,205 "," 59,731 "," 4,661 "," 60,825 "," 6,724 ",
Avionics technicians," 56,086 "," 7,112 "," 56,881 "," 7,331 "," 41,313 "," 30,272 "," 53,952 "," 7,517 "," 55,301 "," 8,010 "," 41,808 "," 31,166 "," 65,270 "," 6,255 "," 65,484 "," 4,680 "," 22,545 "," 94,500 ",
"Electric motor, power tool, and related repairers"," 46,891 "," 2,894 "," 47,606 "," 3,276 "," 30,155 "," 17,502 "," 47,072 "," 3,006 "," 47,794 "," 3,332 "," 22,167 "," 18,726 "," 43,102 "," 12,843 "," 45,680 "," 13,744 ", - , ** ,
"Electrical and electronics installers and repairers, transportation equipment"," 51,259 "," 12,434 "," 51,259 "," 12,434 ", - , ** ," 51,066 "," 11,477 "," 51,066 "," 11,477 ", - , ** ," 70,705 "," 96,874 "," 70,705 "," 96,874 ", - , ** ,
"Electrical and electronics repairers, industrial and utility"," 66,490 "," 9,512 "," 66,640 "," 10,075 "," 54,576 "," 49,977 "," 64,961 "," 8,643 "," 65,158 "," 8,906 "," 54,473 "," 63,720 "," 76,767 "," 18,614 "," 76,826 "," 18,409 ", - , ** ,
"Electronic equipment installers and repairers, motor vehicles"," 34,772 "," 4,356 "," 34,466 "," 4,224 "," 43,438 "," 39,642 "," 34,553 "," 5,219 "," 34,235 "," 4,786 "," 43,438 "," 39,642 "," 36,161 "," 41,529 "," 36,161 "," 41,529 ", - , ** ,
