major_category,minor_category,Occupational Category,total_salary,total_mens_salary,total_womens_salary,total_less_bachelors,mens_less_bachelors,womens_less_bachelors,total_with_bachelors,men_with_bachelors,women_with_bachelors,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Septic tank servicers and sewer pipe cleaners," 45,790 "," 46,262 "," 16,726 "," 45,775 "," 46,247 "," 16,726 "," 62,620 "," 62,620 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Miscellaneous construction and related workers, including solar photovoltaic installers"," 37,457 "," 37,444 "," 40,051 "," 36,344 "," 36,263 "," 37,021 "," 60,286 "," 54,625 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Derrick, rotary drill, and service unit operators, oil, gas, and mining"," 71,051 "," 70,980 "," 158,929 "," 70,837 "," 70,819 ", - ," 76,146 "," 75,862 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Earth drillers, except oil and gas"," 46,928 "," 47,228 ", - ," 47,234 "," 47,234 ", - ," 37,276 "," 39,945 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Explosives workers, ordnance handling experts, and blasters"," 60,558 "," 60,429 "," 61,404 "," 55,142 "," 52,698 "," 59,510 "," 66,514 "," 62,369 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Mining machine operators," 67,928 "," 67,513 "," 91,628 "," 67,102 "," 66,944 "," 91,628 "," 76,435 "," 76,435 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Roof bolters, mining"," 75,303 "," 75,303 ", - ," 75,303 "," 75,303 ", - , - , - , - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,"Roustabouts, oil and gas"," 45,691 "," 45,691 ", - ," 44,688 "," 44,688 ", - ," 51,752 "," 51,752 ", - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Helpers--extraction workers," 55,411 "," 55,411 ", - ," 54,941 "," 54,941 ", - , - , - , - ,
"Natural Resources, Construction, and Maintenance Occupations",Construction and Extraction Occupations,Other extraction workers," 56,506 "," 57,350 "," 27,101 "," 56,493 "," 56,922 "," 34,778 "," 56,632 "," 61,001 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Installation, Maintenance, and Repair Occupations"," 47,632 "," 47,860 "," 42,233 "," 47,151 "," 47,308 "," 40,941 "," 53,789 "," 53,507 "," 55,447 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","First-line supervisors of mechanics, installers, and repairers"," 60,879 "," 61,015 "," 55,518 "," 58,830 "," 59,784 "," 50,541 "," 78,977 "," 80,002 "," 75,228 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Computer, automated teller, and office machine repairers"," 45,545 "," 45,587 "," 45,244 "," 44,512 "," 44,545 "," 43,946 "," 48,232 "," 48,814 "," 45,981 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Radio and telecommunications equipment installers and repairers," 55,607 "," 55,660 "," 54,099 "," 54,657 "," 55,071 "," 49,769 "," 60,116 "," 59,731 "," 60,825 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Avionics technicians," 56,086 "," 56,881 "," 41,313 "," 53,952 "," 55,301 "," 41,808 "," 65,270 "," 65,484 "," 22,545 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Electric motor, power tool, and related repairers"," 46,891 "," 47,606 "," 30,155 "," 47,072 "," 47,794 "," 22,167 "," 43,102 "," 45,680 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Electrical and electronics installers and repairers, transportation equipment"," 51,259 "," 51,259 ", - ," 51,066 "," 51,066 ", - ," 70,705 "," 70,705 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Electrical and electronics repairers, industrial and utility"," 66,490 "," 66,640 "," 54,576 "," 64,961 "," 65,158 "," 54,473 "," 76,767 "," 76,826 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Electronic equipment installers and repairers, motor vehicles"," 34,772 "," 34,466 "," 43,438 "," 34,553 "," 34,235 "," 43,438 "," 36,161 "," 36,161 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Electronic home entertainment equipment installers and repairers," 42,732 "," 45,144 "," 31,265 "," 42,533 "," 45,070 "," 28,162 "," 43,075 "," 46,531 "," 37,044 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Security and fire alarm systems installers," 45,173 "," 45,305 "," 32,085 "," 44,602 "," 44,993 "," 32,085 "," 46,695 "," 46,695 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Aircraft mechanics and service technicians," 62,555 "," 63,428 "," 52,241 "," 62,282 "," 62,634 "," 52,297 "," 66,170 "," 66,707 "," 51,133 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Automotive body and related repairers," 41,967 "," 42,145 "," 27,443 "," 41,946 "," 42,124 "," 27,443 "," 48,494 "," 48,494 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Automotive glass installers and repairers," 37,101 "," 37,223 "," 31,938 "," 36,474 "," 36,538 "," 32,204 "," 39,422 "," 39,598 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Automotive service technicians and mechanics," 39,342 "," 39,433 "," 31,014 "," 39,202 "," 39,288 "," 30,992 "," 41,442 "," 41,720 "," 37,636 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Bus and truck mechanics and diesel engine specialists," 46,916 "," 47,003 "," 37,051 "," 46,821 "," 46,920 "," 36,423 "," 49,325 "," 49,091 "," 70,461 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Heavy vehicle and mobile equipment service technicians and mechanics," 51,819 "," 51,875 "," 36,625 "," 51,922 "," 51,981 "," 36,604 "," 50,085 "," 50,099 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Small engine mechanics," 35,101 "," 35,136 "," 30,427 "," 34,758 "," 34,877 "," 30,213 "," 45,287 "," 45,235 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"," 31,763 "," 31,747 "," 32,459 "," 31,875 "," 31,749 "," 46,216 "," 29,637 "," 31,690 "," 11,743 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Control and valve installers and repairers," 54,592 "," 55,201 "," 40,096 "," 52,794 "," 53,127 "," 45,306 "," 66,555 "," 72,712 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Heating, air conditioning, and refrigeration mechanics and installers"," 46,991 "," 47,067 "," 40,339 "," 46,932 "," 47,013 "," 40,508 "," 48,929 "," 49,079 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Home appliance repairers," 39,832 "," 40,424 "," 21,141 "," 39,410 "," 40,208 "," 18,699 "," 60,154 "," 60,351 "," 26,918 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Industrial and refractory machinery mechanics," 51,547 "," 51,653 "," 45,719 "," 51,420 "," 51,544 "," 44,867 "," 57,882 "," 57,550 "," 71,719 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Maintenance and repair workers, general"," 45,723 "," 45,892 "," 36,953 "," 45,365 "," 45,562 "," 35,483 "," 51,190 "," 50,966 "," 73,942 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Maintenance workers, machinery"," 48,999 "," 49,903 "," 36,327 "," 48,381 "," 49,553 "," 35,928 "," 68,235 "," 70,005 "," 59,400 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Millwrights," 63,188 "," 64,252 "," 47,123 "," 63,045 "," 63,849 "," 46,812 "," 66,250 "," 71,018 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Electrical power-line installers and repairers," 72,299 "," 72,418 "," 48,017 "," 71,997 "," 72,091 "," 41,949 "," 85,728 "," 85,953 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Telecommunications line installers and repairers," 51,482 "," 51,239 "," 60,954 "," 50,934 "," 50,752 "," 60,034 "," 62,366 "," 61,867 "," 70,402 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Precision instrument and equipment repairers," 52,368 "," 55,257 "," 38,997 "," 51,700 "," 55,127 "," 37,332 "," 56,807 "," 56,449 "," 70,417 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Coin, vending, and amusement machine servicers and repairers"," 37,855 "," 39,290 "," 30,631 "," 37,372 "," 38,730 "," 30,411 "," 50,282 "," 50,529 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Commercial divers," 42,199 "," 50,197 ", - ," 47,042 "," 47,201 ", - , - , - , - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Locksmiths and safe repairers," 45,204 "," 45,810 "," 30,438 "," 42,738 "," 45,231 "," 26,499 "," 69,500 "," 62,370 "," 98,232 ",
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Manufactured building and mobile home installers," 42,928 "," 42,928 ", - ," 42,928 "," 42,928 ", - , - , - , - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Riggers," 50,800 "," 50,929 ", - ," 50,817 "," 50,889 ", - ," 50,647 "," 51,279 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations",Signal and track switch repairers," 76,446 "," 76,402 ", - ," 76,826 "," 76,773 ", - ," 69,583 "," 69,583 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Helpers--installation, maintenance, and repair workers"," 31,718 "," 31,364 "," 35,959 "," 30,635 "," 30,132 "," 35,959 "," 40,575 "," 40,575 ", - ,
"Natural Resources, Construction, and Maintenance Occupations","Installation, Maintenance, and Repair Occupations","Other installation, maintenance, and repair workers, including wind turbine service technicians"," 41,609 "," 41,884 "," 35,505 "," 41,288 "," 41,604 "," 32,695 "," 46,210 "," 46,342 "," 42,745 ",
"Production, Transportation, and Material Moving Occupations",,"Production, Transportation, and Material Moving Occupations"," 38,352 "," 41,211 "," 29,116 "," 37,354 "," 40,824 "," 28,029 "," 49,757 "," 51,149 "," 40,362 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Production Occupations," 38,215 "," 41,900 "," 29,266 "," 37,227 "," 41,430 "," 28,243 "," 50,632 "," 52,724 "," 40,259 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,First-line supervisors of production and operating workers," 53,781 "," 56,939 "," 41,801 "," 51,537 "," 54,703 "," 37,477 "," 73,147 "," 75,515 "," 67,729 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Aircraft structure, surfaces, rigging, and systems assemblers"," 48,516 "," 50,717 "," 31,082 "," 47,049 "," 50,280 "," 31,082 "," 63,567 "," 63,567 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Electrical, electronics, and electromechanical assemblers"," 31,737 "," 35,759 "," 30,038 "," 31,657 "," 35,739 "," 30,055 "," 35,198 "," 36,042 "," 29,058 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Engine and other machine assemblers," 45,305 "," 50,288 "," 29,740 "," 45,390 "," 50,403 "," 29,251 "," 44,858 "," 46,639 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,Structural metal fabricators and fitters," 43,399 "," 43,246 "," 45,391 "," 43,050 "," 42,897 "," 45,391 "," 51,300 "," 51,300 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,Miscellaneous assemblers and fabricators," 32,196 "," 35,751 "," 29,447 "," 32,079 "," 35,551 "," 29,364 "," 36,343 "," 39,641 "," 30,394 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Bakers," 26,505 "," 27,647 "," 25,525 "," 26,396 "," 27,478 "," 25,331 "," 27,725 "," 30,369 "," 27,144 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Butchers and other meat, poultry, and fish processing workers"," 30,599 "," 31,935 "," 25,691 "," 30,473 "," 31,830 "," 25,730 "," 32,796 "," 34,714 "," 23,666 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Food and tobacco roasting, baking, and drying machine operators and tenders"," 31,431 "," 35,186 "," 26,499 "," 31,032 "," 35,720 "," 26,127 "," 35,505 "," 27,344 "," 36,264 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Food batchmakers," 28,181 "," 33,798 "," 26,064 "," 28,305 "," 33,684 "," 26,007 "," 27,528 "," 44,139 "," 26,621 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Food cooking machine operators and tenders," 30,053 "," 32,019 "," 21,825 "," 30,070 "," 32,058 "," 21,796 "," 29,740 ", - , - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Food processing workers, all other"," 33,292 "," 36,324 "," 30,172 "," 32,825 "," 36,043 "," 29,883 "," 36,855 "," 41,053 "," 31,373 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Computer control programmers and operators," 45,750 "," 46,578 "," 35,571 "," 45,345 "," 46,302 "," 34,665 "," 55,357 "," 52,671 "," 64,032 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"," 37,364 "," 37,437 "," 36,520 "," 37,334 "," 37,308 "," 37,826 "," 37,863 "," 40,550 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Forging machine setters, operators, and tenders, metal and plastic"," 46,077 "," 46,185 "," 40,659 "," 45,839 "," 45,987 "," 32,472 "," 115,466 ", - , - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Rolling machine setters, operators, and tenders, metal and plastic"," 35,906 "," 42,261 "," 31,616 "," 35,820 "," 42,557 "," 31,424 "," 40,527 ", - , - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"," 33,010 "," 34,677 "," 30,270 "," 33,191 "," 34,841 "," 30,390 "," 29,618 "," 30,728 "," 21,729 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic"," 41,007 "," 47,928 "," 25,953 "," 41,378 "," 42,429 "," 19,909 "," 27,121 "," 53,428 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"," 34,275 "," 35,255 "," 27,351 "," 34,073 "," 35,148 "," 27,348 "," 36,737 "," 36,728 "," 47,519 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic"," 39,892 "," 40,877 "," 33,141 "," 39,636 "," 40,792 "," 33,141 "," 85,633 "," 85,633 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Milling and planing machine setters, operators, and tenders, metal and plastic"," 41,422 "," 45,329 "," 11,674 "," 41,422 "," 45,329 "," 11,674 ", - , - , - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,Machinists," 47,715 "," 48,583 "," 32,407 "," 47,689 "," 48,596 "," 32,258 "," 48,124 "," 48,387 "," 38,770 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Metal furnace operators, tenders, pourers, and casters"," 44,436 "," 47,179 "," 32,115 "," 44,349 "," 47,136 "," 32,361 "," 46,906 "," 65,085 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Model makers and patternmakers, metal and plastic"," 48,967 "," 49,026 "," 44,894 "," 46,831 "," 48,947 "," 41,098 "," 71,250 "," 57,833 "," 88,056 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Molders and molding machine setters, operators, and tenders, metal and plastic"," 36,474 "," 38,502 "," 29,096 "," 36,762 "," 38,713 "," 29,463 "," 27,305 "," 33,562 "," 23,418 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Multiple machine tool setters, operators, and tenders, metal and plastic"," 51,546 "," 52,642 "," 46,329 "," 51,843 "," 51,740 "," 250,213 "," 47,274 ", - , - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,Tool and die makers," 56,088 "," 56,169 "," 48,137 "," 55,712 "," 55,824 "," 43,958 "," 68,856 "," 67,394 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Welding, soldering, and brazing workers"," 41,313 "," 41,704 "," 31,680 "," 41,315 "," 41,703 "," 31,247 "," 41,085 "," 41,822 "," 36,925 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Heat treating equipment setters, operators, and tenders, metal and plastic"," 44,934 "," 46,422 "," 24,395 "," 46,189 "," 47,955 "," 24,395 "," 39,891 "," 39,891 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Layout workers, metal and plastic"," 50,880 "," 51,590 "," 46,871 "," 51,106 "," 52,073 "," 46,505 "," 46,313 "," 45,861 "," 58,780 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Plating and coating machine setters, operators, and tenders, metal and plastic"," 33,693 "," 34,021 "," 29,669 "," 33,134 "," 33,410 "," 29,669 "," 48,095 "," 48,095 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Tool grinders, filers, and sharpeners"," 45,473 "," 45,874 "," 30,923 "," 45,598 "," 45,766 "," 19,652 "," 31,827 "," 52,987 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Metal workers and plastic workers, all other"," 35,946 "," 38,025 "," 29,742 "," 35,813 "," 37,797 "," 29,450 "," 40,573 "," 41,489 "," 37,597 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Prepress technicians and workers," 36,511 "," 41,609 "," 30,983 "," 35,341 "," 40,732 "," 30,373 "," 43,889 "," 46,223 "," 36,209 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Printing workers, except prepress technicians and workers"," 38,710 "," 41,096 "," 30,035 "," 38,434 "," 41,000 "," 29,436 "," 40,482 "," 42,028 "," 32,862 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Laundry and dry-cleaning workers," 23,039 "," 27,430 "," 21,387 "," 22,876 "," 27,163 "," 21,337 "," 26,649 "," 31,807 "," 23,519 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Pressers, textile, garment, and related materials"," 21,567 "," 27,100 "," 19,815 "," 21,489 "," 26,970 "," 19,793 "," 25,139 "," 55,551 "," 22,780 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Sewing machine operators," 23,781 "," 25,776 "," 22,949 "," 23,633 "," 25,553 "," 22,904 "," 26,545 "," 32,102 "," 25,189 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Shoe and leather workers and repairers," 27,667 "," 27,883 "," 26,659 "," 27,613 "," 27,565 "," 29,375 "," 27,920 "," 29,336 "," 13,699 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Shoe machine operators and tenders," 23,184 "," 25,374 "," 20,497 "," 23,184 "," 25,374 "," 20,497 ", - , - , - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Tailors, dressmakers, and sewers"," 26,281 "," 36,478 "," 24,158 "," 25,478 "," 35,651 "," 23,402 "," 32,426 "," 47,617 "," 27,295 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Textile bleaching and dyeing machine operators and tenders," 30,281 "," 31,153 "," 23,655 "," 31,725 "," 32,008 "," 31,087 "," 23,378 "," 24,108 "," 22,529 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Textile cutting machine setters, operators, and tenders"," 22,233 "," 23,992 "," 21,326 "," 22,243 "," 23,855 "," 21,418 "," 21,833 ", - , - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Textile knitting and weaving machine setters, operators, and tenders"," 27,650 "," 27,016 "," 28,090 "," 27,894 "," 27,285 "," 28,090 "," 11,469 ", - ," 26,250 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Textile winding, twisting, and drawing out machine setters, operators, and tenders"," 26,820 "," 30,006 "," 26,061 "," 26,616 "," 29,835 "," 25,817 ", - , - , - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,Fabric and apparel patternmakers," 61,630 "," 66,227 "," 61,097 "," 61,368 "," 62,077 "," 61,155 "," 66,091 "," 66,727 "," 60,313 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Upholsterers," 34,780 "," 35,786 "," 30,003 "," 33,720 "," 35,578 "," 30,082 "," 40,758 "," 41,605 "," 29,201 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Miscellaneous textile, apparel, and furnishings workers, including extruding and forming machine setters, operators, and tenders, synthetic and glass fibers"," 31,768 "," 35,401 "," 29,996 "," 30,968 "," 34,019 "," 28,632 "," 37,183 "," 40,960 "," 33,745 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Cabinetmakers and bench carpenters," 36,211 "," 37,098 "," 28,272 "," 35,938 "," 36,851 "," 27,853 "," 41,309 "," 41,301 "," 87,533 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Furniture finishers," 33,372 "," 36,813 "," 22,419 "," 32,157 "," 35,445 "," 22,131 "," 49,462 "," 48,019 "," 55,781 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Sawing machine setters, operators, and tenders, wood"," 29,032 "," 30,122 "," 22,369 "," 29,527 "," 30,122 "," 25,375 "," 16,475 "," 30,112 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Woodworking machine setters, operators, and tenders, except sawing"," 28,732 "," 30,526 "," 24,189 "," 28,647 "," 30,509 "," 24,112 "," 36,333 "," 35,575 "," 51,141 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Miscellaneous woodworkers, including model makers and patternmakers"," 32,377 "," 32,361 "," 32,625 "," 32,488 "," 32,593 "," 32,137 "," 31,431 "," 30,445 "," 40,397 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Power plant operators, distributors, and dispatchers"," 90,173 "," 90,636 "," 76,659 "," 86,075 "," 86,720 "," 66,984 "," 100,948 "," 101,217 "," 90,341 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Stationary engineers and boiler operators," 59,953 "," 60,102 "," 42,076 "," 57,231 "," 57,843 "," 35,548 "," 68,324 "," 66,818 "," 71,679 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Water and wastewater treatment plant and system operators," 50,047 "," 50,255 "," 40,633 "," 49,317 "," 50,017 "," 40,357 "," 51,360 "," 51,660 "," 41,302 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Miscellaneous plant and system operators," 65,148 "," 65,474 "," 54,063 "," 63,222 "," 64,464 "," 53,592 "," 82,531 "," 81,679 "," 100,559 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Chemical processing machine setters, operators, and tenders"," 52,816 "," 52,387 "," 55,732 "," 52,421 "," 52,692 "," 45,409 "," 55,769 "," 52,056 "," 81,151 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Crushing, grinding, polishing, mixing, and blending workers"," 38,805 "," 40,188 "," 30,622 "," 37,762 "," 39,623 "," 28,833 "," 51,936 "," 50,846 "," 63,201 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Cutting workers," 31,039 "," 32,164 "," 26,308 "," 30,800 "," 31,956 "," 26,109 "," 41,109 "," 40,259 "," 60,575 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"," 36,894 "," 39,595 "," 24,549 "," 37,916 "," 40,352 "," 24,915 "," 29,110 "," 29,900 "," 16,811 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Furnace, kiln, oven, drier, and kettle operators and tenders"," 45,776 "," 46,709 "," 38,576 "," 45,301 "," 46,199 "," 38,813 "," 60,642 "," 76,121 "," 27,295 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Inspectors, testers, sorters, samplers, and weighers"," 41,871 "," 49,507 "," 32,553 "," 40,534 "," 46,814 "," 31,570 "," 52,991 "," 60,083 "," 45,367 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Jewelers and precious stone and metal workers," 34,331 "," 40,281 "," 27,029 "," 31,997 "," 36,168 "," 25,946 "," 42,027 "," 56,408 "," 30,594 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Medical, dental, and ophthalmic laboratory technicians"," 36,997 "," 42,013 "," 32,501 "," 36,425 "," 41,683 "," 32,207 "," 41,986 "," 46,202 "," 38,380 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Packaging and filling machine operators and tenders," 28,137 "," 32,104 "," 25,365 "," 27,931 "," 32,169 "," 25,368 "," 30,695 "," 31,702 "," 25,244 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Painting workers," 39,121 "," 40,764 "," 27,303 "," 38,932 "," 40,724 "," 27,305 "," 41,343 "," 41,565 "," 27,278 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Photographic process workers and processing machine operators," 33,582 "," 40,531 "," 28,628 "," 29,195 "," 31,582 "," 25,947 "," 60,026 "," 59,291 "," 65,036 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Semiconductor processors," 36,791 "," 36,050 "," 41,018 "," 35,960 "," 35,947 "," 36,014 "," 41,654 ", - , - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,Adhesive bonding machine operators and tenders," 27,082 "," 37,809 "," 19,444 "," 26,672 "," 38,194 "," 18,741 "," 41,707 ", - ," 42,470 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Cleaning, washing, and metal pickling equipment operators and tenders"," 32,258 "," 34,129 "," 25,705 "," 32,396 "," 34,129 "," 26,295 ", - , - , - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,Cooling and freezing equipment operators and tenders," 47,836 "," 48,882 "," 33,696 "," 47,439 "," 48,906 "," 33,696 "," 48,824 "," 48,824 ", - ,
"Production, Transportation, and Material Moving Occupations",Production Occupations,Etchers and engravers," 32,420 "," 36,131 "," 31,489 "," 32,268 "," 36,406 "," 30,969 "," 46,010 "," 31,119 "," 62,889 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Molders, shapers, and casters, except metal and plastic"," 33,130 "," 35,219 "," 25,836 "," 32,586 "," 34,555 "," 22,308 "," 40,424 "," 41,334 "," 31,180 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,"Paper goods machine setters, operators, and tenders"," 40,062 "," 43,292 "," 27,455 "," 39,616 "," 42,238 "," 27,744 "," 61,061 "," 61,579 "," 22,713 ",
"Production, Transportation, and Material Moving Occupations",Production Occupations,Tire builders," 42,460 "," 42,419 "," 46,125 "," 42,332 "," 42,328 "," 45,100 "," 47,530 "," 44,452 ", - ,
